id,bal,block,x,cond,trial,y,c2,task,cycle,dim1,dim2,cor,error,res,time
9,1,0,0,0,1,0,0,1,1,3,1,3,0,3,1481
9,1,0,0,0,2,0,0,1,2,2,3,2,0,2,1452
9,1,0,0,0,3,0,0,1,3,1,2,1,0,1,548
9,1,0,0,0,4,0,0,1,1,2,1,2,0,2,1029
9,1,0,0,0,5,0,0,1,2,1,3,1,0,1,717
9,1,0,0,0,6,0,0,1,3,2,3,2,0,2,549
9,1,0,0,0,7,0,0,1,1,1,4,1,0,1,749
9,1,0,0,0,8,0,0,1,2,1,4,1,0,1,508
9,1,0,0,0,9,0,0,1,3,1,4,1,0,1,693
9,1,0,0,0,10,0,0,1,1,2,1,2,0,2,1069
9,1,0,0,0,11,0,0,1,2,1,3,1,0,1,1589
9,1,0,0,0,12,0,0,1,3,1,3,1,0,1,340
9,1,0,0,0,13,0,0,1,1,2,4,2,0,2,636
9,1,0,0,0,14,0,0,1,2,3,4,3,0,3,597
9,1,0,0,0,15,0,0,1,3,3,4,3,0,3,452
9,1,0,0,0,16,0,0,1,1,1,4,1,0,1,365
9,1,0,0,0,17,0,0,1,2,1,4,1,0,1,1269
9,1,0,0,0,18,0,0,1,3,1,4,1,0,1,1980
9,1,0,0,0,19,0,0,1,1,2,4,2,0,2,541
9,1,0,0,0,20,0,0,1,2,3,4,3,0,3,612
9,1,0,0,0,21,0,0,1,3,1,4,1,0,1,797
9,1,0,0,0,22,0,0,1,1,2,4,2,0,2,933
9,1,0,0,0,23,0,0,1,2,1,4,1,0,1,692
9,1,0,0,0,24,0,0,1,3,1,4,1,0,1,572
9,1,0,0,0,25,0,0,1,1,2,1,2,0,2,917
9,1,0,0,0,26,0,0,1,2,1,3,1,0,1,812
9,1,0,0,0,27,0,0,1,3,1,2,1,0,1,444
9,1,0,0,0,28,0,0,1,1,1,4,1,0,1,517
9,1,0,0,0,29,0,0,1,2,3,4,3,0,3,620
9,1,0,0,0,30,0,0,1,3,2,4,2,0,2,668
9,1,0,0,0,31,0,0,1,1,2,1,2,1,3,557
9,1,0,0,0,32,0,0,1,2,1,3,1,0,1,589
9,1,0,0,0,33,0,0,1,3,3,2,3,0,3,468
9,1,0,0,0,34,0,0,1,1,1,2,1,0,1,461
9,1,0,0,0,35,0,0,1,2,1,2,1,0,1,469
9,1,0,0,0,36,0,0,1,3,1,3,1,0,1,397
9,1,0,0,0,37,0,0,1,1,1,3,1,0,1,420
9,1,0,0,0,38,0,0,1,2,1,3,1,0,1,325
9,1,0,0,0,39,0,0,1,3,2,3,2,0,2,492
9,1,0,0,0,40,0,0,1,1,2,4,2,0,2,508
9,1,0,0,0,41,0,0,1,2,1,4,1,0,1,564
9,1,0,0,0,42,0,0,1,3,2,4,2,0,2,437
9,1,0,0,0,1,0,0,2,1,4,1,1,0,1,572
9,1,0,0,0,2,0,0,2,2,4,2,2,0,2,556
9,1,0,0,0,3,0,0,2,3,4,3,3,0,3,325
9,1,0,0,0,4,0,0,2,1,1,3,3,1,2,773
9,1,0,0,0,5,0,0,2,2,1,2,2,1,1,1085
9,1,0,0,0,6,0,0,2,3,3,2,2,0,2,485
9,1,0,0,0,7,0,0,2,1,4,3,3,0,3,636
9,1,0,0,0,8,0,0,2,2,4,3,3,0,3,437
9,1,0,0,0,9,0,0,2,3,4,3,3,0,3,389
9,1,0,0,0,10,0,0,2,1,4,1,1,0,1,532
9,1,0,0,0,11,0,0,2,2,4,1,1,0,1,389
9,1,0,0,0,12,0,0,2,3,4,1,1,0,1,485
9,1,0,0,0,13,0,0,2,1,3,1,1,0,1,748
9,1,0,0,0,14,0,0,2,2,1,2,2,0,2,501
9,1,0,0,0,15,0,0,2,3,3,2,2,0,2,548
9,1,0,0,0,16,0,0,2,1,3,2,2,0,2,661
9,1,0,0,0,17,0,0,2,2,3,2,2,0,2,341
