ID	Raven	CF	Color	Big	Small	Woval	Wrec	Boval	Brec	Color4	Color8	Woval4	Woval8	Wrec4	Wrec8	Boval4	Boval8	Brec4	Brec8	DigSym	RedBlueAccuracy	RedBlueRT	RedAcc	RedRT	BlueAcc	BlueRT	g	Slots	Resolution	SpeedDigitRedBlue	SpeedRedBlue
3	11	14	1.69	.27	2.11	0	.55	2.22	2	1.63	1.75	.33	-.34	-.59	1.69	2.19	2.26	2.19	1.81	67	1	519.04	1	376.16	1	458.66	-2.8259	-1.27914	-.82208	-2.21255	.68343
4	24	27	4.56	.12	4.92	-.37	.61	4.63	5.21	3.88	5.25	.01	-.75	.47	.75	3.57	5.69	3.85	6.57	72	1	359	1	339.64	1	359.17	.28506	1.61282	-1.32716	-.20727	-.60036
5	12	18	3.56	-.83	2.84	-.49	-1.17	2.58	3.09	2.88	4.25	-.26	-.72	-.85	-1.49	2.82	2.34	2.93	3.26	85	1	466.14	1	476.88	1	454.14	-2.20692	.08251	-2.17552	-.86312	1.53839
7	21	28	3	1.15	3.88	2.05	.25	3.49	4.26	3.25	2.75	2.39	1.71	.5	0	3.11	3.87	3.61	4.91	95	.98	514.31	.98	478.89	.98	514.41	.07338	.34752	-.335	-.98343	2.13674
9	25	29	3.38	-.02	4.51	.48	-.52	4.41	4.61	3.25	3.5	.93	.03	-.18	-.86	3.04	5.79	2.91	6.3	77	.94	376.06	.98	326.94	.89	378.55	.65093	1.01245	-1.53909	-.18862	-.52709
10	27	33	5.25	2.45	4.52	3.1	1.79	4.04	5.01	4	6.5	2.71	3.49	1.95	1.63	3.71	4.36	3.67	6.35	99	.99	402.12	.98	422.86	1	402.15	1.38265	1.38348	.94753	.44302	.55586
11	17	31	2.19	.39	2.9	1.59	-.8	2.69	3.12	2.38	2	1.17	2	0	-1.6	2.97	2.4	3.56	2.69	86	.99	466.1	.98	481.19	1	457.44	.00207	-.46062	-1.02805	-.82069	1.60865
12	24	33	5.38	-.02	5.54	-.43	.4	5.37	5.7	4	6.75	0	-.86	0	.8	4	6.74	4	7.41	76	.99	372.29	1	385.68	.98	361.44	1.04441	2.3274	-1.5453	-.18834	-.16782
13	22	30	2.5	-.66	.79	-1.71	.38	.8	.78	2.5	2.5	-.39	-3.03	.67	.1	1.08	.53	.67	.9	87	1	398.16	1	386.19	1	386.16	.43925	-1.79042	-1.5383	-.0166	.07477
14	23	30	2.63	1.19	3.92	1.17	1.2	4.3	3.55	2.75	2.5	1.27	1.07	2.28	.11	2.7	5.89	3.48	3.61	67	.97	441.27	1	341.32	.95	419.54	.55199	.13123	-.10894	-1.34015	-.00402
15	14	22	1.25	.05	.63	.78	-.68	1.18	.08	2	.5	1.1	.46	-.09	-1.27	1.43	.92	.48	-.32	91	.95	450.52	.96	420.02	.94	448.82	-1.47519	-2.31625	-.98088	-.43595	.98001
17	20	17	3.13	1.46	3.42	2.06	.86	3.76	3.09	3.25	3	1.99	2.13	1.11	.62	3.63	3.88	3.78	2.39	91	1	498.44	1	506.74	1	498.7	-1.4315	-.00444	.14332	-.97341	2.23391
