"id","bal","block","x","cond","trial","y","c2","task","cycle","dim1","dim2","cor","error","res","time","valence_current_group","valence_previous_group","switch","prev_error","mean_rt","sd_rt","rt_z"
"9",1,"1",0,"0",4,0,0,"2","1","4","1","1",0,"1",1189,1,1,1,0,723.486486486486,363.182967480398,1.28176031145689
"9",1,"1",0,"0",5,0,0,"2","2","4","3","3",0,"3",565,1,1,0,0,475.717948717949,127.662579258959,0.699359607179375
"9",1,"1",0,"0",6,0,0,"2","3","4","2","2",0,"2",780,1,1,0,0,502.837837837838,222.058990349851,1.24814654757052
"9",1,"1",0,"0",7,0,0,"1","1","1","4","1",0,"1",349,1,1,1,0,723.486486486486,363.182967480398,-1.03112348325283
"9",1,"1",0,"0",8,0,0,"1","2","1","4","1",0,"1",317,1,1,0,0,475.717948717949,127.662579258959,-1.24326133499148
"9",1,"1",0,"0",9,0,0,"1","3","2","4","2",0,"2",557,1,1,0,0,502.837837837838,222.058990349851,0.243908891402372
"9",1,"1",0,"0",10,0,0,"2","1","2","3","3",0,"3",685,2,1,1,0,626.714285714286,215.265167728025,0.270762403880199
"9",1,"1",0,"0",11,0,0,"2","2","2","1","1",0,"1",565,2,1,0,0,613.3125,248.881554611439,-0.194118443511923
"9",1,"1",0,"0",12,0,0,"2","3","2","1","1",0,"1",461,2,1,0,0,675.820512820513,490.189537552614,-0.438239693758162
"9",1,"1",0,"0",13,0,0,"1","1","1","3","1",0,"1",1180,2,2,1,0,698.816326530612,322.043260129067,1.4941584968322
"9",1,"1",0,"0",14,0,0,"1","2","1","3","1",0,"1",308,2,2,0,0,522.446808510638,273.635334016281,-0.78369560452262
"9",1,"1",0,"0",15,0,0,"1","3","2","3","2",0,"2",1269,2,2,0,0,570.148148148148,234.505453724843,2.98010916484633
"9",1,"1",0,"0",16,0,0,"2","1","3","1","1",0,"1",821,2,2,1,0,698.816326530612,322.043260129067,0.379401430169411
"9",1,"1",0,"0",17,0,0,"2","2","2","3","3",1,"2",780,2,2,0,0,522.446808510638,273.635334016281,0.941227829422196
"9",1,"1",0,"0",18,0,0,"2","3","1","3","3",1,"2",812,2,2,0,1,570.148148148148,234.505453724843,1.03132719521154
"9",1,"1",0,"0",19,0,0,"1","1","3","4","3",0,"3",852,1,2,1,1,628.463414634146,197.049371676361,1.13441917355106
"9",1,"1",0,"0",20,0,0,"1","2","3","4","3",0,"3",357,1,2,0,0,519.414634146341,163.364466088828,-0.994185810628059
"9",1,"1",0,"0",21,0,0,"1","3","3","4","3",0,"3",357,1,2,0,0,498.380952380952,122.740843855215,-1.15186557253692
"9",1,"1",0,"0",22,0,0,"2","1","2","1","1",0,"1",492,2,1,1,0,626.714285714286,215.265167728025,-0.625806242301538
"9",1,"1",0,"0",24,0,0,"2","3","1","2","2",0,"2",692,2,1,0,0,675.820512820513,490.189537552614,0.0330065942661017
"9",1,"1",0,"0",25,0,0,"1","1","2","3","2",1,"3",876,2,2,1,0,698.816326530612,322.043260129067,0.550185938989616
"9",1,"1",0,"0",26,0,0,"1","2","3","1","3",0,"3",621,2,2,0,1,522.446808510638,273.635334016281,0.36016252010604
"9",1,"1",0,"0",27,0,0,"1","3","3","2","3",0,"3",796,2,2,0,0,570.148148148148,234.505453724843,0.96309850480857
"9",1,"1",0,"0",28,0,0,"2","1","2","3","3",1,"1",701,2,2,1,0,698.816326530612,322.043260129067,0.00678068365260168
"9",1,"1",0,"0",30,0,0,"2","3","1","2","2",0,"2",500,2,2,0,0,570.148148148148,234.505453724843,-0.299132267646348
"9",1,"1",0,"0",31,0,0,"1","1","1","4","1",0,"1",1021,1,2,1,0,628.463414634146,197.049371676361,1.99207225085988
"9",1,"1",0,"0",32,0,0,"1","2","2","4","2",0,"2",789,1,2,0,0,519.414634146341,163.364466088828,1.65020810405045
"9",1,"1",0,"0",33,0,0,"1","3","2","4","2",0,"2",613,1,2,0,0,498.380952380952,122.740843855215,0.933829718119355
"9",1,"1",0,"0",34,0,0,"2","1","1","3","3",0,"3",1141,2,1,1,0,626.714285714286,215.265167728025,2.38908003423705
"9",1,"1",0,"0",35,0,0,"2","2","2","1","1",0,"1",852,2,1,0,0,613.3125,248.881554611439,0.959040537868088
"9",1,"1",0,"0",36,0,0,"2","3","1","2","2",0,"2",716,2,1,0,0,675.820512820513,490.189537552614,0.081967247567324
"9",1,"1",0,"0",37,0,0,"1","1","1","4","1",0,"1",341,1,2,1,0,628.463414634146,197.049371676361,-1.45883953949512
"9",1,"1",0,"0",38,0,0,"1","2","1","4","1",0,"1",332,1,2,0,0,519.414634146341,163.364466088828,-1.14721786587566
"9",1,"1",0,"0",39,0,0,"1","3","2","4","2",0,"2",453,1,2,0,0,498.380952380952,122.740843855215,-0.369729838540817
"9",1,"1",0,"0",40,0,0,"2","1","2","3","3",0,"3",684,2,1,1,0,626.714285714286,215.265167728025,0.266116970480294
"9",1,"1",0,"0",41,0,0,"2","2","2","1","1",0,"1",965,2,1,0,0,613.3125,248.881554611439,1.41307177443931
"9",1,"1",0,"0",42,0,0,"2","3","1","2","2",0,"2",684,2,1,0,0,675.820512820513,490.189537552614,0.0166863764990277
